,Abnormal Images,Normal Images,Epoch,Threshold,TP,FP,TN,FN,TPR,FPR,ACC,Precision,Recall,F1,F2,AUC,AUPR
21,278,2500,21,0.3356723,147,38,2462,130,0.5306859205776173,0.0152,0.9391648668106551,0.7945945945945946,0.5287769784172662,0.6349892008639308,0.7240704500978473,0.8584748201438848,0.6103899835392294
22,278,2500,22,0.33878615,144,37,2463,133,0.51985559566787,0.0148,0.9384449244060475,0.7955801104972375,0.5179856115107914,0.6274509803921567,0.7206759443339961,0.8538762589928057,0.6073578573456501
23,278,2500,23,0.3102744,136,34,2466,141,0.49097472924187724,0.0136,0.9366450683945284,0.8,0.4892086330935252,0.6071428571428572,0.7120582120582122,0.860378417266187,0.6338014733284982
24,278,2500,24,0.37932003,122,36,2464,155,0.4404332129963899,0.0144,0.9308855291576674,0.7721518987341772,0.43884892086330934,0.5596330275229358,0.6728665207877462,0.8436014388489209,0.5672302378642553
25,278,2500,25,0.47416726,119,32,2468,158,0.4296028880866426,0.0128,0.9312455003599712,0.7880794701986755,0.42805755395683454,0.5547785547785549,0.6772009029345373,0.8455309352517987,0.5629445828196799
26,278,2500,26,0.33145207,145,62,2438,132,0.5234657039711191,0.0248,0.9298056155507559,0.7004830917874396,0.5215827338129496,0.597938144329897,0.6576576576576576,0.8479640287769784,0.5710418238741144
27,278,2500,27,0.39055198,130,32,2468,147,0.4693140794223827,0.0128,0.9352051835853131,0.8024691358024691,0.4676258992805755,0.5909090909090909,0.7043010752688172,0.8582820143884892,0.6086149118755348
28,278,2500,28,0.39744115,121,26,2474,156,0.4368231046931408,0.0104,0.9341252699784017,0.8231292517006803,0.4352517985611511,0.5694117647058824,0.7011494252873564,0.8655870503597123,0.6178862183469122
29,278,2500,29,0.39597082,127,31,2469,150,0.4584837545126354,0.0124,0.9344852411807055,0.8037974683544303,0.4568345323741007,0.5825688073394496,0.700218818380744,0.8518920863309352,0.5938721771473046
30,278,2500,30,0.39078698,129,25,2475,148,0.4657039711191336,0.01,0.937365010799136,0.8376623376623377,0.46402877697841727,0.5972222222222222,0.7238307349665924,0.8568676258992806,0.6218335697533248
